,Question Asked,Agency
4212,find UEN number,ACRA
4213,Havent receive 2019 bill Why,IRAS IIT
4214,is there something wrong with the SPF website today i cannot file a online police report,SPF
4215,how do I apply for parenthood tax relief,IRAS IIT
4216,Can I purchase the business profile of a LLP,ACRA
4217,under the property rental income if the house is registered under 2 party and the income goes to only 1 person how should i declare it,IRAS IIT
4218,Bid results for number plate,LTA
4219,ica emai id,ICA
4220,how do I upload a file for this claim,SSG
4221,payment for REP,ICA
4222,How to go overseas,MINDEF
4223,i have applied for a driving licence via online how long will i get the new licence,SPF
4224,Any regulation for anti caking agent particularly silica,AVA
4225,replacement qdl not arrive,SPF
4226,For PRs where can we apply for career guidance,SSG
4227,where i find Ir8a,IRAS IIT
4228,how long is a entry Visa valid,ICA
4229,how to view my save profile,ACRA
4230,finger printing of USA resident,SPF
4231,Hello i need to send my saf100 to my employer but i cant seem to access from manage call ups section,MINDEF
4232,And sign craft shop,LTA
4233,sale of second hand car with coe price,IRAS GST
4234,minimum school age for P1,MOE
4235,do i get notice upon business registration expiry,ACRA
4236,Hi if I just renewed my passport and wants to edit my passport number on my reentry permit how do i do it,ICA
4237,Hello and good morning If my child was born in November 2014 when will heshe be eligible for P1 registration,MOE
4238,buying of constitution,ACRA
4239,Hi I have made an appeal on my traffic offence last week May I know how do I check the status of appeal,LTA
4240,how do I cancel PR,ICA
4241,how many types of training grants available for company sponspor courses,SSG
4242,retention of car plate refund,LTA
4243,Salary cap for ETS,SSG
4244,Is the skill future credited be credited every year,SSG
4245,nsmen payments employer eservice technical issued ok already,MINDEF
4246,Can a work permit holder become a shareholder in a company,ACRA
4247,Can foreigners claim QCR,IRAS IIT
4248,I just tried to apply for my Certificate of Clearance After upload my details the screen came to Police Force,SPF
4249,TYPES OF PRIVATE LTD,ACRA
4250,when i renew coe for my opc car will i get further 17k discount,LTA
4251,I am holding employment pass less than 2 years do i need to do health screening for pr application,ICA
4252,how to update my company secretarys name,ACRA
4253,i moved my ropc car to washing bay during restricted hours in hdb carpark,LTA
4254,retain VRN and transfer to 2nd hand vehicle,LTA
4255,How come I paid my insurance today and not being reflected on LTA websites,LTA
4256,I had work over 183 days so how can i waive my previous tax clearance,IRAS IIT
4257,I am travelling from USA to India Am I eligible for VFTF,ICA
4258,How to see my driving recors,SPF
4259,Whats is iras contact number,IRAS IIT
4260,search jobs bank advertisement by Job post id,SSG
4261,taurine,AVA
4262,submission of endorsement,ACRA
4263,there is no action button in endorsement page,ACRA
4264,How to check if the person is a registered filing agent,ACRA
4265,i need to change my sole proprietor to private limited with 2 share holders,ACRA
4266,Will I be able to see all the jobs that Ive applied?,SSG
4267,We are from Tanjong Katong Girls School and would like to make a police report on the lost of donation card and want to check if do it online how to go about it,SPF
4268,I want to apply for catering license,AVA
4269,where is the venue for the medical screening,MINDEF
4270,My estimated income tax payable is 000 do i still have to file my tax,IRAS IIT
4271,My current passport is renewed and the evisa is having old passport number What I need to do to travel to Singapore,ICA
4272,endorsement of director,ACRA
4273,How to check if I hv applied giro,LTA
4274,IS IT TAXABLE FOR POSB BANK INTEREST RECEIVED IN SINGAPORE,IRAS IIT
4275,I have some query on output tax on gifts,IRAS GST
4276,how to pay taxes via internet banking,IRAS IIT
4277,cap on donations,IRAS IIT
4278,Update account details,MINDEF
4279,how do i apply ffor Application for Temporary Fair Permit,AVA
4280,How to register for my kid MOE Kindergarten,MOE
4281,If I am a private company and do want to hold an AGM I understand that all I need to do is hold one AGM to dispense with AGM once and every other year to send member fin,ACRA
4282,I am getting married and changing my legal name Do I need to update my passport,ICA
4283,How to transfer a Z10 vehicle to a P10 vehicle,LTA
4284,how much is psea given for poly holders,MOE
4285,physical copy of my COE,LTA
4286,I want to pay my traffic offence fine,SPF
4287,how do i claim my pay if i am self employed,MINDEF
4288,How to check if there is any LTA fines to pay,LTA
4289,do i go to the register portal if i want to defer my NS,MINDEF
4290,can a foreingner with class 3 c driver a lorry,SPF
4291,Who can file an NOW,ACRA
4292,If an exemployee is reimbursed a medical fee is it taxable,IRAS IIT
4293,Appreal for entry visa,ICA
4294,what is the phone number because unable to get thru,IRAS GST
4295,How to i appeal erp charges,LTA
4296,Would like to know what Is the criteria for an SME to be eligible get support for PCP?,SSG
4297,when is the company dormant,ACRA
4298,Gantry reading device,LTA
4299,Who shall I contact to speak in person,SPF
4300,May i have the full name of the payee for cheque payment,IRAS IIT
4301,new ERP system,LTA
4302,where do i mail the documents for ic renewal,ICA
4303,Who to contact for a paper tax return,IRAS IIT
4304,how to print food hygierne cert,SSG
4305,If i tomorrow want to walk in to find a jobs where shall i go,SSG
4306,option to appeal for a claim after course completed,SSG
4307,What is B3 pea status,MINDEF
4308,i already received my evisa i want to check status in this websirte as well how do i do it,ICA
4309,Hi may i know how do i register my scooter now,LTA
4310,Hi Jamie If I wanted to get a copy of the memorandum and articles of a Singapore registered company can I do that online on the ACRA site Regards Richard Forlee,ACRA
4311,How to change your collection of passport to singpost,ICA
4312,withholding tax rate for royalty payments,IRAS IIT
4313,Lost lta registration mark,LTA
4314,Speeding exceed 3642 km how many demerit points will I get,SPF
4315,applying for Permanent Residence under family ties scheme,ICA
4316,How much do i need to earn to apply ltvp for my mother,ICA
4317,can I travel abroad if I have lost my NRIC,ICA
4318,I failed to renew rep,ICA
4319,If the birth certificate is damaged is it possible to get a replacement,ICA
4320,How do I register for wsq csp programme,SSG
4321,If I want to convert Malaysia License to Singapore LicenseAny documents that u required,SPF
4322,I am a Chinese tourist visiting Australia and will transit Singapore How can I apply for a transit visa,ICA
4323,Need a copy of certificate of merit,SPF
4324,Do i need to download the lastest version for the bizfinx preparation tool,ACRA
4325,When and how to pay GST on import cargo,IRAS GST
4326,TAX FILLING STATUS WHERE,IRAS IIT
4327,how to appeal for the application of renewal reentry permit,ICA
4328,Is there an expiry date for the driving licence,SPF
4329,Cant make cash payment I have only UOB Account Pls suggest how can i proceed Thanks,IRAS IIT
4330,is there a maximum number of PCPs i can apply for?,SSG
4331,How do I pay it with my DBS account,IRAS IIT
4332,Rental deposit is it taxable,IRAS IIT
4333,How do I know if my device escooter needs to be registered,LTA
4334,want to change GIRO pay to one time one year pay,IRAS IIT
4335,do i need to have a secretary,ACRA
4336,when we get gst voucher,IRAS GST
4337,How do I check whether my new registration is done,LTA
4338,May I know private limited company,ACRA
4339,I did not receive notification from MOE,MOE
4340,The identification mark is the same number as the registration mark,LTA
4341,how can i check if my visa is valid,ICA
4342,how to update my passport number in my pr,ICA
4343,waive penalty fees,IRAS IIT
4344,OK THANKS I WIL CALL THEM,IRAS IIT
4345,where can i use psea?,MOE
4346,What is the income tax rate for Singaporeans,IRAS IIT
4347,I cannot log in After I enter the OTP I can see successful authentication but later Access denied I am trying to submit GST form,IRAS GST
4348,i would like to talk to some one,IRAS IIT
4349,Hello I have a question about what requirements eist for taking prescription medication from Australia into Singapore,ICA
4350,customer unable to provide subcert can we zero rated the sales,IRAS GST
4351,can I renew my class 3 driving license upon age 65 on line,SPF
4352,Report damage of opc safety seal,LTA
4353,Hi I was wondering how I can lodge the appointment of a new director of a local company Are there any forms I need the new director to sign,ACRA
4354,how to replace singapore license surrendered overseas,SPF
4355,My brother is currently serving his NS What should I put as his occupation,MINDEF
4356,if i go for rt i go for rt training or ippt,MINDEF
4357,Im work permit holder how do I filling the form21 as I already terminated from previous company,IRAS IIT
4358,to appoint new director in LLp,ACRA
4359,POA lodged at ACRA,ACRA
4360,What schools are in tanjong pagar grc,MOE
4361,I am a Colombian citizen and I will know Singapure I need visa,ICA
4362,how to know by when i am able to apply for new passport from my current passport expiry date,ICA
4363,how to apply for a job at police psychological services division,SPF
4364,my cousin kid dont have passport can i bring them in singapore without passport,ICA
4365,appeal for road tax late renewal fee,LTA
4366,if i am in pes bp is there a chance for me to chang emy pes,MINDEF
4367,How to amend IR21 after submit,IRAS IIT
4368,10 sessions RT,MINDEF
4369,If I have SRS account after 72 Years old Do I have to pay income tax if I withdraw 50000 per annual,IRAS IIT
4370,AM SINGAPORE CITIZEN RENEW MY MOTHER LONG TERM STAY,ICA
4371,hi how do i check if a company is gst registered,IRAS GST
4372,If a company never change to the new addresthenhow,ACRA
4373,I want to print out my car road tax valid for 2019 till 17 Jan 2020,LTA
4374,what are the fine for failing red traffic light,SPF
4375,what ist he amount of qualifying child,IRAS IIT
4376,g50 submission,MINDEF
4377,what does payout of 400 mean?,SSG
4378,funding for wts,SSG
4379,i WOULD LIKE TO PAY MY ITX BY CHEQUE PLS GIVE ME THE POSTAL ADDRESS OF IRAS,IRAS IIT
4380,Can we still amend IR21 after we have received directive to pay,IRAS IIT
4381,hello I am currently set up to pay my personal income tax using giro can i make a part advance payment,IRAS IIT
4382,how to declare rent from property when my share is zero,IRAS IIT
4383,update director passport,ACRA
4384,I need to endorse my childs medical questionnaire,MINDEF
4385,email did not received,ACRA
4386,How do i get information on my deregistered vehicle,LTA
4387,How much to retain number,LTA
4388,I am wrongly taxed by IRAS,IRAS IIT
4389,May I pls check with you How to download income tax,IRAS IIT
4390,I need to convert my foreign driving licence but I got my PR in the 2005 and my driving licence in year 2010 in india,SPF
4391,How long does it takes to approve the transfer of car ownership,LTA
4392,where do I go to file my annual returns,ACRA
4393,What is pdvl,LTA
4394,have completed my medical screening questionarie,MINDEF
4395,can apply for ltvp and PR at same time,ICA
4396,I am a foreigner looking to set up a business in Singapore,ACRA
4397,Can I pay late filing tax return by instalment,IRAS GST
4398,I want to know if my visa is valid,ICA
4399,i cannot find P10P11 conversion scheme,LTA
4400,Use singpass to register new company,ACRA
4401,How can i find out if i wish to sell my car,LTA
4402,How do I know exact income in 2018 for claiming child relief for my dependent child,IRAS IIT
4403,I cant find my car details to initiate a transfer,LTA
4404,can I apply Pharmaceutical Science if I got 13 points but last year cutoff points are 9 points,MOE
4405,What website should I go for ns reward,MINDEF
4406,We are in one motoring but dont see the finance menu,LTA
4407,how to get the p1 registration form,MOE
4408,Is PAB01 Form available in AIC,LTA
4409,What is the email address for recruitment,SPF
4410,I wanted to send a few fishes fighting fishes from Singapore to Indonesia Meant to be a gift for my Indonesia friend However I was told that it required a health,AVA
4411,rendered spent mean no record,SPF
4412,penalty for late AGM filling,ACRA
4413,Can I renew toad tax and vehicle inspection even havent renew coe,LTA
4414,how can I make an appeal for not conforming to red light signal,SPF
4415,if my functional currency is in USD can i file my GST in USD,IRAS GST
4416,How to book a medical screening appointment,MINDEF
4417,To claim back the gst from supplies do we still need to pay government the gst of tax of customer,IRAS GST
4418,my skillfuture credit now zero why to go course to up grade myself,SSG
4419,is Thailand an approved country for import of chicken to singapore,AVA
4420,CAN I SUBMIT MAKE UP PAY CLAIM AFTER THE THE ICT DATES,MINDEF
4421,What are the requirements to import food service equipment,AVA
4422,Art DSA secondary school,MOE
4423,Hi there what is outstanding,IRAS IIT
4424,i cant find my parf rebate,LTA
4425,Subsidies for PRs,SSG
4426,What is the fees for kindergarten for foreigners,MOE
4427,Can I print my tax assessment for 2018,IRAS IIT
4428,to be an esa,LTA
4429,Can you help me to check my traffic offences,SPF
4430,Exempt for public licence,SPF
4431,taxable when shares is vested,IRAS IIT
4432,Registered nonUL2272certified escooters will be automatically deregistered on 1 July 2021 or 2020,LTA
4433,Hi I would like to apply a license for my upcoming event on May 2019 How do I proceed to apply via online using Singpass,SPF
4434,QDL apllication,SPF
4435,Change a new passporthow to update long term visit pass,ICA
4436,Childs immunisation records If the child took in Malaysia,MOE
4437,what form to file sole proprietor tax,IRAS IIT
4438,how do foreigners pay traffic fines,SPF
4439,Can claim keyman insurance,IRAS GST
4440,can two companies transfer assets to a Limited Liability Partnership by electing section 24,IRAS IIT
4441,I was unaware of declare dividend in my return in past years what shall I do,IRAS IIT
4442,Im a full time freelance tutor and I would like to know how can I declare my income,IRAS IIT
4443,FILLING ANNUAL RETURNS,ACRA
4444,cant seem to find the emart online option,MINDEF
4445,Can I go down to ICA Building personally to pay by cash and also to submit my passport and IC application forms,ICA
4446,is there a diploma leadership course,SSG
4447,Can i check my father inlaw death date By the full name,ICA
4448,what the reward for marksman,MINDEF
4449,cannot input occupation when filing for accident reports,SPF
4450,For the Huamin MOE Kindergarten open house MOE Kindergarten,MOE
4451,how do i download recall order,MINDEF
4452,Abt DSASec,MOE
4453,I have successfully registered my scooter on 17 Jan2019 I did not receive my LTA registration mark yet When can I get it,LTA
4454,Taxi Driver enforce seat belt,SPF
4455,is salary slip mandatory for visa request,ICA
4456,What is the criteria to participate in the attach and train PCP as an employer?,SSG
4457,But the resident tax rate is only up to YA2017,IRAS IIT
4458,HOW TO CLAIM GRANDPARENT CAREGIVER,IRAS IIT
4459,where do i file a report,ICA
4460,how do i add in relief,IRAS IIT
4461,i did not received my biz profile since i bough yesterday,ACRA
4462,how to check traffic demerit points,SPF
4463,update vehicle particulars,LTA
4464,i cannot submit the ns pay verification,MINDEF
4465,Birth certificate of my new born has error,ICA
4466,After I pay medisave due can I immediately go online to renew my business registration or must I wait for one hour later,ACRA
4467,hi i do not received the registration mark for my online application on 2 jan,LTA
4468,collect student pass,ICA
4469,for GST registered thereafter,IRAS GST
4470,any phone call that my father can call,MINDEF
4471,Skill future courses by PA,SSG
4472,can i print my own identification mark,LTA
4473,How to go to lta office at tuas,LTA
4474,Make changes to company profile,ACRA
4475,How to pay my Income Tax by cheque,IRAS IIT
4476,There is no online registration for k2 MOE Kindergarten,MOE
4477,I am writing an appeal for the Advisory Notice of an parking offences against me Which link should I go,LTA
4478,why i can renew when i entered 3 years renewal and a red wording indication 1 year,ACRA
4479,Hi i want to be the director of a pte ltd and i am EP holder it is possible,ACRA
4480,Poor systems data entry at SPF,SPF
4481,PES staus,MINDEF
4482,Is annual health check up taxable,IRAS IIT
4483,To check when my road expire,LTA
4484,where is blk 31 Tao Payoh Lor 5 in the map,SPF
4485,what are the sectors under AnT?,SSG
4486,I would to check if i paid my income tax,IRAS IIT
4487,how to deregister a ebicycle,LTA
4488,any government fee for register gst,IRAS GST
4489,Is insurance payout a taxable income,IRAS IIT
4490,Can I talk to someone for any questions,SPF
4491,How can I register a branch of a foreign company in Singapore,ACRA
4492,How can I check my completion date,MINDEF
4493,bringing fruits to singapre,AVA
4494,Where do I start if I need to apply for a COC,SPF
4495,things to bring for pre enlistee ippt,MINDEF
4496,Hello as a foregner outside Singapore do I have to pay tax on dividend received from Singaporean companies,IRAS IIT
4497,Hi I cant access my emart,MINDEF
4498,assessment criteria for citizenship application,ICA
4499,why I cannot make appointment to collect my new SPR ic,ICA
4500,May I know latest new car number plate,LTA
4501,my name spelling error on my driving license,SPF
4502,Do I need to register with IRAS to be a selfemployed,IRAS GST
4503,Hey Jamie I need to visit Singapore for a short business trip less than 96 hours Can I use VFTF for that,ICA
4504,WHAT AMOUNT TO CHARGE,IRAS GST
4505,for redeployment pcp does the participating company and eligible recipients have to fulfil the criteria for PCP place and train program?,SSG
4506,Can I gat back balance of PQP if I deregister my car in 6th year after I renew COE for 10years by paying PQP,LTA
4507,Can I check my car insurance,LTA
4508,Where to find Maintenance of client List by FA,ACRA
4509,why cant i renew for 1 year,LTA
4510,Can I renew COE there,LTA
4511,Dear Jaime i cant download the Food Additives Document,AVA
4512,Hi Jamie if my company got cheque to mail out to IRAS what is the address,IRAS IIT
4513,taxable and non taxable supplies gst,IRAS GST
4514,i am a service crew what certs is best for me,SSG
4515,P1 submission,MOE
4516,where do I mail the giro form to,MOE
4517,good morning I would like to ask about JC admission Can MT grade be considered as one of the R5 subjects for JC admission,MOE
4518,Change the vehicle registration number plates,LTA
4519,what does authorised CSP of the entity,ACRA
4520,Special Employment Credit is under exempted supplies or nontaxable,IRAS GST
4521,do we need to amend 1r21 if lesser the filed previously,IRAS IIT
4522,is GST on staff events like family day DD claimable,IRAS GST
4523,PR for spouse,ICA
4524,if i resign and submitted IR21 previously do i need to submit income tax for the IR21 which i have filed when i resign,IRAS IIT
4525,i had register my child birth cert,ICA
4526,How do I make a police report for lost mobile phone,SPF
4527,Do I need a transit visa if I am having a 9 hrs layover,ICA
4528,HOW TO EXTEND TIME FOR AGM,ACRA
4529,deposit refundable is out of scope,IRAS GST
4530,i am looking for a copy of last years tax bill,IRAS IIT
4531,Must Registered Filing Agents maintain a list of clients that it is acting on behalf of,ACRA
4532,right now i have employee resign on 13 july 2019 and need to submit IR21 just want to check on the section F do i need to fill in the column year prior to year of,IRAS IIT
4533,how to import plant to Singapore,AVA
4534,I need to report a case of cyber bullying,SPF
4535,change of lay up garrage address,LTA
4536,I would like to check my hygiene certificate expire date,SSG
4537,HOW TO FIND OUT THAT THE EMAIL ON THE BUSINESS PROFILE IS SEND,ACRA
4538,ubscription fee paid to professional body whereby the membership is just to facilitate the employees access to professional updates knowledge and networking under wher,IRAS IIT
4539,my salary plus bonus is17400 of last year do i need to file a tax return,IRAS IIT
4540,Hello i am not able to access bizfiles onlin pls verify Thank you,ACRA
4541,i cannot pay school fees,MOE
4542,cannot cancel ippt,MINDEF
4543,How many reservist do I still have,MINDEF
4544,get certificate of merit,SPF
4545,How to print ns payslip,MINDEF
4546,how long can the foreigner stay in singapore,ICA
4547,set up company using HDB home address should I register company name first or apply thru HDB first,ACRA
4548,Escooter wrong information was entered,LTA
4549,How can I renew my daughters passport,ICA
4550,Do I need to be a member if I want to incorporate a company,ACRA
4551,telephone can claim GST,IRAS GST
4552,How many people can I bring during my enlistment,MINDEF
4553,May I seek your adviceconfirmation whether attached international driving permit is valid for foreign driving license original driving license is in Chinese issued by P,SPF
4554,i am not a resident anymore and dont have a singpass how do i connect,IRAS IIT
4555,hi i have received a message from MINDEF that my unit Mob Manning period is from 14032019 to 28032019,MINDEF
4556,hi i was supposed to furnish my drivers particulars but i miss the dateline,SPF
4557,company pays passport renewal fee is this taxable,IRAS IIT
4558,i cant book a slot for ippt,MINDEF
4559,how to file dormant account for private limited company,ACRA
4560,How can I reserve a company name when I change company name,ACRA
4561,Pdl payment application froze at payment page,SPF
4562,how can i temporary the vehicle owner ship,LTA
4563,hi we have a complaint about our auditor who should we contact,ACRA
4564,can i lay up vehicle online,LTA
4565,no CPF relief included in personal relief,IRAS IIT
4566,director fee entitle to WMCR,IRAS IIT
4567,I cant submit my pre enlistment documents,MINDEF
4568,Am I qualified for WTS claim,SSG
4569,Regarding the transfer of a vehicle that is currently laid up what are the procedures,LTA
4570,how do I renew ltvp for my mother in law,ICA
4571,What is the supporting document require for the application,AVA
4572,How do I retrieve my Application Reference Number for permanent residence application,ICA
4573,reimbursement of taxi fare is fall under which category,IRAS GST
4574,psle leaving cert,MOE
4575,how much they will rebate for my coe,LTA
4576,Im driving a malaysian vehicle to Spore can i drive with Malaysian licence,LTA
4577,Emil address for skills future,SSG
4578,How many days do Maldivian nationals get as a Tourist to stay arrival and departing by air,ICA
4579,what company will exempted from xbrl filing,ACRA
4580,how to convert Z10 so that to do trade in at car dealer,LTA
4581,where is MINDEF med centre,MINDEF
4582,directors fee rate,IRAS IIT
4583,Hello I am a female from Ukraine living in Germany I want to travel to Singapore with my boyfriend for a one week vacation How can I apply for an evisa,ICA
4584,cheque renewal for coe,LTA
4585,hOW DOES coc reference number,SPF
4586,I am now 48 years old and did not receive any letter and my IC is damaged due to years of wear and tear do I do damaged replacement or reregistration,ICA
4587,when is the last payment date of 2019 individual income tax,IRAS IIT
4588,Hi I am currently holding student pass am I eligible to sign up SPF,SPF
4589,Hi Can you check for me why im ineligible to book ippt,MINDEF
4590,How to receive my property tax,IRAS IIT
4591,How do i print out the road tax validity,LTA
4592,my passport pages 5 pages expire only on 08102021,ICA
4593,how to count,IRAS IIT
4594,Qualified Driving License status,SPF
4595,gst paid on import and claiming gst export,IRAS GST
4596,Hey there I need to find out how I can travel from Manila to Hanoi via Singapore Airlines meaning transshipping my dog through Singapore,AVA
4597,is notice in lieu a tax relief,IRAS IIT
4598,Optical reimbursement taxable,IRAS IIT
4599,what is my due date to pay tax,IRAS IIT
4600,Do I need to make appointment and visit ICA to submit application for renewal of my mothers long term visit pass,ICA
4601,Are we are to check or amend the records after filing the NS registration if we omit some data,MINDEF
4602,I want to check why i havent receive the income tax letter for this year,IRAS IIT
4603,how to submit hard copy claim form,MINDEF
4604,I am foreigner and would like to renew my driving licence,SPF
4605,So Ill get my passport on the day itself,ICA
4606,Just wondering am I able to bring in cooked mutton nasi biryani for my family to eat 6 serves,AVA
4607,how do i check if i am stay in,MINDEF
4608,My latest ippt result is not updated,MINDEF
4609,bought but yet received the file,ACRA
4610,how long is ABTC card valid for,ICA
4611,Himay I check my passport application P20190822A9855SIP status Is it still require resubmit photo,ICA
4612,if employer paying course fees on behalf of employee is the fees taxable as benefit,IRAS IIT
4613,informing employees about closing a company,ACRA
4614,bring me to the esaf100 page,MINDEF
4615,Hi there we are New Zealand citizens traveling to India next month and stopping over in Singapore for a couple of days Do we get teh 2 day visa on arrival at Changi,ICA
4616,NO OF CHILD TO CLAIM CHILD RELIEF,IRAS IIT
4617,hi i am looking for ACRA report,ACRA
4618,i want to know more about pcp,SSG
4619,how to appeal on PR application,ICA
4620,How do i know whether a number has been retained,LTA
4621,SPR need to file tax if he leave the company,IRAS IIT
4622,malay surname,ICA
4623,employment pass entrepass,ACRA
4624,how to have an account careerfurture,SSG
4625,My singapore PR status is expired and ICA has approved to reinstate But i need to travel to singapore requires Visa How do apply the visa wth my singapass,ICA
4626,could not find enquire my vehicle detail,LTA
4627,Hi can I claim back my tax,IRAS IIT
4628,where to find e letter in your website,LTA
4629,declare simplified annual return,ACRA
4630,when do i receive hardcopy of my tax bill,IRAS IIT
4631,is bank interest paid to non resident subject to withholding tax,IRAS IIT
4632,will i receive hard copy noa after preview noa is out,IRAS IIT
4633,how do I make payment for the course facebook for beginners on 15619,SSG
4634,WHATS CHILD ORDER,IRAS IIT
4635,if someone from the fishery ports can bring us around their facility,AVA
4636,death taxes,IRAS IIT
4637,Within what time can I avail GST input,IRAS GST
4638,saturday can i still apply for new passport,ICA
4639,I do not know my codeword for my upcoming ops manning,MINDEF
4640,Hi may i know when will i be getting the claim makeup pay,MINDEF
4641,How to get the notice of assessment,IRAS IIT
4642,How can I immigrate to Singapore,ICA
4643,How do I download my wpln certificate,SSG
4644,memorandum articles of association singapore,ACRA
4645,is a financial gift from a direct family taxable,IRAS IIT
4646,Hi I would like to ask about Secondary school Leaving certificates,MOE
4647,medical questionair by parent,MINDEF
4648,I need to know how do i print the certificate of Merit,SPF
4649,procedure to submit training grant,SSG
4650,I would like to print a business form,ACRA
4651,courses for 40 years and above,SSG
4652,checking on the biz profile of a company,ACRA
4653,how to claim course,SSG
4654,Can i please know the hotel jobs updates,SSG
4655,how do i check license demerits point,SPF
4656,LTD MAILING ADDRESS,LTA
4657,singapore PR received earned income relief,IRAS IIT
4658,hi i need to feedback on late payment for my fine,LTA
4659,So i have to do this at the ubi tp relace a lost driving licnese,SPF
4660,Oversea death,ICA
4661,Posting results jae,MOE
4662,anti laundry money,ACRA
4663,how to know school location Such as bus MRT BLK etc,MOE
4664,which web should I go to to file gst return,IRAS GST
4665,What is the price is our company vans COE if we want to extand 5 more years Now the expiry date is 27th March 2019 The vehicle No is GBB4478U,LTA
4666,i need to extend PR ipa letter,ICA
4667,I did not realize My Mothers Long term Social visit pass expires and we are planning for her to visit us in Singapore this Aug,ICA
4668,How to check demerit points over last 24 months,SPF
4669,So going overseas need not to inform Mindef,MINDEF
4670,Unrealised capital gains,IRAS IIT
4671,Hai Pls guide me to view my annual income which summited by my company,IRAS IIT
4672,Proportion of school enrollment,MOE
4673,status of form ir21A,IRAS IIT
4674,Can I do registration in person,ACRA
4675,i do not see how many demerit points after i log in the eservice,SPF
4676,I was told that Im required to display some form of verification on my PMD given by LTA I did registered but I dont receive any verification label yet,LTA
4677,I just bought a COE car How do I check my IU unit warranty validity,LTA
4678,ave food shop licence going to renewal how i am going to do the renewal,AVA
4679,importer label regulation,AVA
4680,LTA SERVICE OPENING HOUR,LTA
4681,Can i request for a original notice of assessment of my personal,IRAS IIT
4682,Hi Im a Singaporean Citizen who is applying for SG Citizenship for my mother in her 50s May I know how I can apply,ICA
4683,is refund of salary for short notice taxable,IRAS IIT
4684,do i need to speak to someone specific to expediate my passport,ICA
4685,How will I know the COC has been mailed,SPF
4686,do we need to deregister private hire cars when we sell or scrape,LTA
4687,My online application for PR has been approved,ICA
4688,howto file a police report,SPF
4689,I do not have the visa application reference number,ICA
4690,When do I need to prepare the company constitution,ACRA
4691,To my knowledge I have finished my reservist,MINDEF
4692,Do I apply for Giro every year,IRAS IIT
4693,how can i confirm who the directors are of our company AVERY OKANE ASSOCIATES PTE LTD,ACRA
4694,Hi i havent go my medical check up i didnt get any letter may i know when i need to go for my check up because im turning 18 this month,MINDEF
4695,What if change to new electric scooter PMD,LTA
4696,I need to apply for COC,SPF
4697,I am moving to australa the Immigration requires a Police certificate,SPF
4698,i too my ippt on 1502 today is 202 it still say ive not taken,MINDEF
4699,i cannot submit the medical claim on behalf of my son I cannot type the hospital name,MINDEF
4700,pi registration,MOE
4701,so i call income to why i cant renew my roadtax then the staff tild me to renew 6 month to renew roadtax as after 6 month will be expired same day,LTA
4702,would like to create a TG application however unable to find the course,SSG
4703,Why is there whitehorse,MINDEF
4704,could you please guide me on the user guide to file the employees income manually,IRAS IIT
4705,agent is charging gst is this acceptable,IRAS GST
4706,I stay in Singapore for 2 years and now can I converse my foreign driving license,SPF
4707,please bring me to live chat,IRAS GST
4708,Does commercial import of fish into Singapore need permits,AVA
4709,Hi I would like to know MRL of pesticide residue in fruit and vegetable Please support me Thanks,AVA
4710,Is the branch office of a foreign company required to appoint a director,ACRA
4711,What is c9l9,MINDEF
4712,Can I efile employees IR8A using Firefox,IRAS IIT
4713,how can i make changes to my efiling,IRAS IIT
4714,How to add a new partner to the public accounting firm,ACRA
4715,Do I need a apply for an AVA licence,AVA
4716,submit skillsconnect claim application,SSG
4717,Dear BizFile Team we have purchased a Business Profile with Certificate of Production for SCOOT TIGERAIR PTE LTD from your website on 29052019,ACRA
4718,School terms and holidays for next year 2020,MOE
4719,collection of LTVP card,ICA
4720,Does import fresh sea food need AVA inspection before import,AVA
4721,Hi I have submitted PR application since Jan this year the status show pending,ICA
4722,So many birds motion at mine back yard and windows how to take care my health,AVA
4723,Hi My dog passed away today I would like to report it and submit the death certificate What is the process thanks Krisztina,AVA
4724,When will I get my emart credit,MINDEF
4725,how to transfer name from sole proprietor to company,ACRA
4726,Is interest income derived from the debt securities bonds that I am holding taxable,IRAS IIT
4727,How do i reschedule my medical review,MINDEF
4728,How long it take for medical screening,MINDEF
4729,Summon from Malaysia,LTA
4730,i did not receive renewal of road tax,LTA
4731,submit cancellation gst manually,IRAS GST
4732,How do I find out if my business has expired,ACRA
4733,can an LLP exist with one person only,ACRA
4734,how do i renew a business online,ACRA
4735,APPLICATION FORM FOR REREGISTER FORM BY POST,ICA
4736,register in 2019 home dpd 2022,MOE
4737,Do I need to attend RT after reach 40 years old,MINDEF
4738,difference between Nett and Full Fee,SSG
4739,how do i buy an annual return,ACRA
4740,Why my credit balance 0,SSG
4741,Hi Im Anand Im trying to extension for my friend visa in onlinebut system showing unsuccessful submission you do not fulfill the condition for submission,ICA
4742,Why is it that it shows no records when I do a people search,ACRA
4743,Can we check when will ns payment be in,MINDEF
4744,E scotter,LTA
4745,Hi My Son is 16 yrs old We are going to Australia for a 2 month vacation Does he need to,MINDEF
4746,I have yet to complete my RT in this window If i require assistance,MINDEF
4747,Hi For a drivers license conversion which centre should I go to,SPF
4748,GST from supplier GST output,IRAS GST
4749,received a tax invoice addressed to my company for 107 100 GST 7 I will rebill this invoice to another company Do I need to charge GST If yes what should be,IRAS GST
4750,I would like to cancel GIRO for my income tax since I would like to pay in full to avoid penalty,IRAS IIT
